FECHA,TotalA,TotalB,Total,<=30A,<=30B,<=30,31-40A,31-40B,31-40,41-50A,41-50B,41-50,51-60A,51-60B,51-60,61-70A,61-70B,61-70,71-80A,71-80B,71-80,>=81A,>=81B,>=81
2021-01-10,0.003427897748960706,0.0,0.003427897748960706,0.0014538050936406838,0.0,0.0014538050936406838,0.00799375758626669,0.0,0.00799375758626669,0.007220267351366041,0.0,0.007220267351366041,0.006103502160125012,0.0,0.006103502160125012,0.00010616438356164384,0.0,0.00010616438356164384,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-11,0.0040345995605476056,0.0,0.0040345995605476056,0.0017631961089921338,0.0,0.0017631961089921338,0.00945032079070574,0.0,0.00945032079070574,0.008400998936404485,0.0,0.008400998936404485,0.0070625363850844135,0.0,0.0070625363850844135,0.0001232876712328767,0.0,0.0001232876712328767,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-12,0.0045853781612058084,0.0,0.0045853781612058084,0.002003556333283986,0.0,0.002003556333283986,0.010802843766256285,0.0,0.010802843766256285,0.009441167237509781,0.0,0.009441167237509781,0.008085914759322242,0.0,0.008085914759322242,0.00013356164383561644,0.0,0.00013356164383561644,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-13,0.005027236554531959,0.0,0.005027236554531959,0.0022181339729632175,0.0,0.0022181339729632175,0.011860586093289405,0.0,0.011860586093289405,0.010293917826704213,0.0,0.010293917826704213,0.008842724515120874,0.0,0.008842724515120874,0.0001404109589041096,0.0,0.0001404109589041096,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-14,0.005751637217026927,0.0,0.005751637217026927,0.0025940606905407856,0.0,0.0025940606905407856,0.013551239812727588,0.0,0.013551239812727588,0.011737034208417867,0.0,0.011737034208417867,0.010003983209241046,0.0,0.010003983209241046,0.00014383561643835615,0.0,0.00014383561643835615,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-15,0.006865549546339208,0.0,0.006865549546339208,0.003149633804128873,0.0,0.003149633804128873,0.016241113230449106,0.0,0.016241113230449106,0.013897023338190576,0.0,0.013897023338190576,0.011814811410362473,0.0,0.011814811410362473,0.00015753424657534247,0.0,0.00015753424657534247,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-16,0.007300254970825641,0.0,0.007300254970825641,0.003356726177307666,0.0,0.003356726177307666,0.017340038148083926,0.0,0.017340038148083926,0.01475445937018278,0.0,0.01475445937018278,0.012473572938689217,0.0,0.012473572938689217,0.00015753424657534247,0.0,0.00015753424657534247,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-17,0.0075710923818931046,0.0,0.0075710923818931046,0.0034889658854820762,0.0,0.0034889658854820762,0.018053147216923877,0.0,0.018053147216923877,0.015286257127729855,0.0,0.015286257127729855,0.012835125777491805,0.0,0.012835125777491805,0.00015753424657534247,0.0,0.00015753424657534247,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-18,0.007735935800153854,0.0,0.007735935800153854,0.0035571649802638473,0.0,0.0035571649802638473,0.018408617998959598,0.0,0.018408617998959598,0.015668120715748243,0.0,0.015668120715748243,0.01313539847412446,0.0,0.01313539847412446,0.00015753424657534247,0.0,0.00015753424657534247,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
2021-01-19,0.007843880602644128,0.00013850748753270044,0.007982388090176828,0.0036045716680999564,3.8258028780018e-05,0.0036428296968799745,0.018666551066412348,0.00029044563898040577,0.01895699670539275,0.01588130836304685,0.00035140820983287026,0.01623271657287972,0.013334558936176731,0.00028495266109017375,0.013619511597266905,0.00015753424657534247,1.0273972602739726e-05,0.00016780821917808218,9.111077703826197e-06,0.0,9.111077703826197e-06,0.0,0.0,0.0
