FECHA,TotalA,TotalB,TotalC,Total,<=30A,<=30B,<=30C,<=30,31-40A,31-40B,31-40C,31-40,41-50A,41-50B,41-50C,41-50,51-60A,51-60B,51-60C,51-60,61-70A,61-70B,61-70C,61-70,71-80A,71-80B,71-80C,71-80,81-90C,>=91C,>=81A,>=81B,>=81
2021-05-21,0.2545201886042802,0.07344993539568598,0,0.32797012399996617,0.0238688514773421,0.016925019253768832,0,0.04079387073111093,0.12319013351829373,0.09562814288191435,0,0.21881827640020807,0.12601966948886503,0.09257966424116912,0,0.21859933373003415,0.2087171002236725,0.09796243527284983,0,0.3066795354965223,0.8202534246575343,0.0866472602739726,0,0.9069006849315069,0.9411788823440981,0.25359318126944647,0,1.1947720636135446,0,0,0.8781617941801926,0.06100402888842085,0.9391658230686134
2021-05-22,0.25563767741801235,0.07352211535397767,0,0.32915979277199003,0.023961169764180838,0.01693915809049188,0,0.04090032785467272,0.12336570140454309,0.09568449800589561,0,0.2190501994104387,0.1261742891011915,0.09262651866914683,0,0.21880080777033833,0.21008977540827894,0.09802677942212826,0,0.30811655483040723,0.8277328767123288,0.08670890410958904,0,0.9144417808219178,0.943119541895013,0.2541034016208607,0,1.1972229435158739,0,0,0.8789838776522383,0.061058381514671814,0.9400422591669101
2021-05-23,0.25718044274276036,0.0735227656238722,0,0.3307032083666326,0.024020220199906517,0.01693915809049188,0,0.0409593782903984,0.12356727934801456,0.09568449800589561,0,0.2192517773539102,0.12633125143491686,0.09262651866914683,0,0.2189577701040637,0.21652112632901307,0.09802677942212826,0,0.31454790575114133,0.8348253424657535,0.08671232876712329,0,0.9215376712328767,0.9441946490640646,0.2541034016208607,0,1.1982980506849252,0,0,0.8797176381066263,0.06106517559295318,0.9407828136995795
2021-05-24,0.2577562567343576,0.0736879341770802,0,0.3314441909114378,0.02404766617707479,0.01701068397038496,0,0.04105835014745975,0.123658314548292,0.09602696375932027,0,0.21968527830761228,0.12641793212667563,0.09287250441602983,0,0.21929043654270547,0.21776511321506267,0.09821368385574654,0,0.3159787970708092,0.8386780821917809,0.08681849315068493,0,0.9254965753424658,0.9446593140269597,0.25435395625771595,0,1.1990132702846756,0,0,0.8798942841419419,0.06114670453232962,0.9410409886742716
2021-05-25,0.2582732213005008,0.07744324281793158,0,0.33571646411843237,0.024068458584020454,0.01701983262944105,0,0.041088291213461504,0.12368432460551414,0.0960529738165424,0,0.21973729842205653,0.12645073022626002,0.09289124618722093,0,0.21934197641348097,0.21882219566749395,0.09823513190550602,0,0.317057327573,0.842167808219178,0.08683219178082192,0,0.929,0.945219645305745,0.2597978251857521,0,1.205017470491497,0,0,0.8802475762125731,0.131214033848098,1.011461610060671
2021-05-26,0.2590984137966463,0.07847652168032342,0,0.3375749354769697,0.02411337018302308,0.017044783517775844,0,0.04115815370079893,0.12383171492977285,0.09618302410265303,0,0.22001473903242588,0.126574894460401,0.09302243858555853,0,0.21959733304595952,0.2248858657352085,0.09842510034623281,0,0.32331096608144133,0.843027397260274,0.08781849315068493,0,0.9308458904109589,0.9454701999426002,0.26175670689207475,0,1.207226906834675,0,0,0.88077751431852,0.14651429813774314,1.027291812456263
2021-05-27,0.26095883596486724,0.08457377734628757,0,0.3455326133111548,0.02421067864752878,0.017101338864668046,0,0.041312017512196826,0.12406580544477198,0.09652332235130917,0,0.22058912779608114,0.12681619476448622,0.09338556040238583,0,0.22020175516687204,0.24041425376106873,0.09865796488647853,0,0.3390722186475473,0.8438013698630137,0.08876027397260274,0,0.9325616438356165,0.9457025324240478,0.27015712053500246,0,1.2158596529590502,0,0,0.8811104241543071,0.25642889657374635,1.1375393207280535
2021-05-28,0.2653975782648588,0.08842695160626418,0,0.353824529871123,0.024337096481758407,0.017197815632895918,0,0.04153491211465432,0.12447763135078897,0.09702835096237211,0,0.2215059823131611,0.12780013775201826,0.09372759772662316,0,0.2215277354786414,0.2786990225817324,0.09888776541961578,0,0.37758678800134815,0.844736301369863,0.08946232876712329,0,0.9341986301369863,0.9459849758328663,0.2760109879597108,0,1.2219959637925772,0,0,0.8815180688511893,0.3229497170266396,1.204467785877829
2021-05-29,0.2707161357321356,0.0887491603389987,0,0.3594652960711343,0.02434291835570319,0.01720197411428505,0,0.04154489246998824,0.1245253164556962,0.09703485347667765,0,0.22156016993237385,0.13037010312659597,0.09374399677641536,0,0.22411409990301134,0.32371847902687134,0.09890614946226675,0,0.4226246284891381,0.846167808219178,0.08947602739726028,0,0.9356438356164384,0.9464131964849463,0.2765348749276808,0,1.222948071412627,0,0,0.8817015089647863,0.3287314776440854,1.2104329866088717
2021-05-30,0.27585391816873595,0.08878167383372469,0,0.3646355920024606,0.024358720584981893,0.017202805810562875,0,0.04156152639554477,0.12455999653199237,0.09703918848621466,0,0.22159918501820705,0.1381549663350935,0.09374633949781425,0,0.23190130583290774,0.3611667739069155,0.09890614946226675,0,0.4600729233691822,0.846722602739726,0.08947945205479452,0,0.9362020547945206,0.9466045291167265,0.27658043031619994,0,1.2231849594329265,0,0,0.8818238023738509,0.3293089742980019,1.2111327766718527
