FECHA,SputnikA,SputnikB,Sputnik,ModernaA,ModernaB,Moderna,PfizerA,PfizerB,Pfizer,SinopharmA,SinopharmB,Sinopharm,AstraZenecaA,AstraZenecaB,AstraZeneca,CansinoA,CansinoB,Cansino,TotalA,TotalB,Total
2020-12-29,,,,,,,,,,,,,,,,,,,,,
2020-12-30,,,,,,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,
2021-01-01,416.7142857142857,0.0,416.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.7142857142857,0.0,416.7142857142857
2021-01-02,492.2857142857143,0.0,492.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.2857142857143,0.0,492.2857142857143
2021-01-03,564.7142857142857,0.0,564.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.7142857142857,0.0,564.7142857142857
2021-01-04,756.5714285714286,0.0,756.5714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.5714285714286,0.0,756.5714285714286
2021-01-05,1019.8571428571429,0.0,1019.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.8571428571429,0.0,1019.8571428571429
2021-01-06,1027.5714285714287,0.0,1027.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.5714285714287,0.0,1027.5714285714287
2021-01-07,1087.4285714285713,0.0,1087.4285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.4285714285713,0.0,1087.4285714285713
2021-01-08,1230.857142857143,0.0,1230.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.857142857143,0.0,1230.857142857143
2021-01-09,1299.142857142857,0.0,1299.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.142857142857,0.0,1299.142857142857
2021-01-10,1308.142857142857,0.0,1308.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.142857142857,0.0,1308.142857142857
2021-01-11,1421.0,0.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.0,0.0,1421.0
2021-01-12,1645.142857142857,0.0,1645.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.142857142857,0.0,1645.142857142857
2021-01-13,1772.0,0.0,1772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,0.0,1772.0
2021-01-14,1809.5714285714287,0.0,1809.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.5714285714287,0.0,1809.5714285714287
2021-01-15,1617.4285714285713,0.0,1617.4285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.4285714285713,0.0,1617.4285714285713
2021-01-16,1434.2857142857142,50.857142857142854,1485.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.2857142857142,50.857142857142854,1485.142857142857
2021-01-17,1274.0,131.28571428571428,1405.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,131.28571428571428,1405.2857142857142
2021-01-18,975.2857142857143,159.28571428571428,1134.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.2857142857143,159.28571428571428,1134.5714285714287
2021-01-19,490.57142857142856,169.14285714285714,659.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.57142857142856,169.14285714285714,659.7142857142857
2021-01-20,306.2857142857143,209.28571428571428,515.5714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.2857142857143,209.28571428571428,515.5714285714286
2021-01-21,190.57142857142858,225.28571428571428,415.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.57142857142858,225.28571428571428,415.85714285714283
2021-01-22,130.42857142857142,319.2857142857143,449.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.42857142857142,319.2857142857143,449.7142857142857
2021-01-23,93.0,397.42857142857144,490.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,397.42857142857144,490.42857142857144
2021-01-24,76.0,459.2857142857143,535.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,459.2857142857143,535.2857142857143
2021-01-25,74.71428571428571,596.4285714285714,671.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71428571428571,596.4285714285714,671.1428571428571
2021-01-26,80.14285714285714,820.4285714285714,900.5714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.14285714285714,820.4285714285714,900.5714285714286
2021-01-27,75.57142857142857,838.2857142857143,913.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.57142857142857,838.2857142857143,913.8571428571429
2021-01-28,72.85714285714286,871.1428571428571,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.85714285714286,871.1428571428571,944.0
