FECHA,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total,DelayCount,CumDelay,DelayAvg
2020-09-08,0,0,0,0,0,0,0,0,0,2,1,3,5,4,9,10,5,15,8,10,18,3,4,7,28,24,52,45,739,16.42222222222222
2020-09-09,1,0,1,0,0,0,1,1,2,6,1,7,6,3,9,7,4,11,3,5,8,2,6,8,26,20,46,38,749,19.710526315789473
2020-09-10,0,1,1,0,0,0,0,0,0,1,0,1,4,3,7,12,2,14,2,7,9,1,6,7,20,19,39,36,424,11.777777777777779
2020-09-11,0,0,0,1,0,1,1,1,2,1,0,1,5,2,7,4,5,9,3,8,11,0,1,1,15,17,32,30,486,16.2
2020-09-12,0,0,0,0,0,0,0,0,0,1,2,3,2,4,6,4,1,5,4,4,8,0,6,6,11,17,28,26,311,11.961538461538462
2020-09-13,0,0,0,0,0,0,1,0,1,0,0,0,4,2,6,5,2,7,0,4,4,0,1,1,10,9,19,18,261,14.5
2020-09-14,2,0,2,0,0,0,0,0,0,2,0,2,3,1,4,6,6,12,5,4,9,1,2,3,19,13,32,30,417,13.9
2020-09-15,0,0,0,0,0,0,0,0,0,2,2,4,3,1,4,5,2,7,6,3,9,1,3,4,17,11,28,25,325,13.0
2020-09-16,1,0,1,1,0,1,0,0,0,0,1,1,5,2,7,3,4,7,3,6,9,1,4,5,14,17,31,29,330,11.379310344827585
2020-09-17,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,7,2,9,4,4,8,1,4,5,15,11,26,25,332,13.28
2020-09-18,1,1,2,1,0,1,0,2,2,0,0,0,3,1,4,1,4,5,5,4,9,0,3,3,11,15,26,25,367,14.68
2020-09-19,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,2,6,2,5,7,0,3,3,9,13,22,19,236,12.421052631578947
2020-09-20,0,0,0,0,0,0,3,0,3,1,0,1,3,1,4,1,3,4,2,2,4,0,2,2,10,8,18,14,211,15.071428571428571
2020-09-21,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,6,4,10,1,5,6,0,1,1,10,10,20,19,233,12.263157894736842
2020-09-22,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,3,1,4,5,5,10,1,3,4,12,13,25,25,365,14.6
2020-09-23,0,0,0,0,0,0,0,1,1,4,0,4,2,3,5,5,4,9,2,4,6,1,2,3,14,14,28,27,454,16.814814814814813
2020-09-24,0,0,0,0,0,0,0,0,0,2,1,3,3,0,3,1,2,3,5,5,10,1,1,2,12,9,21,19,256,13.473684210526315
2020-09-25,0,0,0,0,1,1,0,1,1,2,0,2,4,1,5,6,7,13,2,3,5,2,6,8,16,19,35,29,412,14.206896551724139
2020-09-26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,2,7,4,4,8,1,0,1,11,7,18,17,179,10.529411764705882
2020-09-27,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,4,8,3,4,7,1,2,3,10,11,21,19,309,16.263157894736842
2020-09-28,0,0,0,0,0,0,0,2,2,2,0,2,6,1,7,3,1,4,8,2,10,1,0,1,20,6,26,25,331,13.24
2020-09-29,0,0,0,1,0,1,0,0,0,1,0,1,5,1,6,2,4,6,4,5,9,0,2,2,13,12,25,24,349,14.541666666666666
2020-09-30,1,0,1,0,0,0,0,1,1,0,0,0,5,2,7,5,0,5,4,4,8,2,3,5,17,10,27,25,486,19.44
