FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,>=81M,>=81F,>=81
2021-01-23,0.006564696842258289,0.01016675239608093,0.008474967535275517,0.0026057059542105056,0.00508836804794763,0.0038307930556687585,0.015680101035704917,0.024216771181746297,0.02005592162302757,0.01274670852201549,0.021573907434721228,0.01733145290895716,0.011508491508491508,0.017092271024855294,0.01452339369427337,0.00021550692016665868,0.00022793526638434684,0.0002226027397260274,0.0,2.971724045705116e-05,1.8222155407652394e-05,0.0,0.0,0.0
2021-01-24,0.006595156260275727,0.010220703684198588,0.008517885348313818,0.0026139154877776465,0.005105222529722879,0.003843268499836156,0.015769040916792293,0.024373226661705195,0.02017946939483267,0.012800327563599495,0.021686670906573207,0.01741579087931705,0.011561771561771562,0.01718306662126887,0.014596929864877286,0.00021550692016665868,0.00022793526638434684,0.0002226027397260274,0.0,2.971724045705116e-05,1.8222155407652394e-05,0.0,0.0,0.0
2021-01-25,0.0067882966608863,0.010501495615538215,0.008757509804444334,0.002689443196595342,0.005235002039392295,0.003945567142008812,0.016142588417359285,0.02499904858154079,0.020682330501127104,0.013190284229664978,0.022322656887818388,0.017933532308470813,0.012007992007992008,0.017688117126319375,0.01507491497380274,0.00023147039573455933,0.00023993185935194405,0.0002363013698630137,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,0.0,0.0
2021-01-26,0.007040971378530956,0.01089570786848883,0.009085245831282274,0.002755119465132469,0.005411974098032408,0.004066163102293652,0.016787402555242782,0.025781325981335285,0.021397607074735564,0.013697227895550107,0.023278891129123198,0.018673832270518727,0.012494172494172494,0.018459879695834753,0.015715292459478506,0.0002554156090864103,0.00026392504528713844,0.0002602739726027397,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
2021-01-27,0.0073483345967069215,0.011302181777829821,0.00944517021789894,0.0028766205619261535,0.005607486086625295,0.004224185395080683,0.017538944550431135,0.026618574225439662,0.022193081324778915,0.014267539519670877,0.024144914592946418,0.01939773318277444,0.013040293040293041,0.019345136760867097,0.01644452615130067,0.00027137908465431094,0.00026992334177093706,0.0002705479452054795,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
2021-01-28,0.007665389447888435,0.011798165778820563,0.009857116196077181,0.0029997635654332665,0.005851876072366403,0.004407158576202508,0.018214887646695217,0.027772961955947213,0.023114270851395873,0.014891470185375651,0.025168806917362417,0.020229399279378897,0.013726273726273726,0.02027579162410623,0.017262616049269236,0.00027137908465431094,0.00026992334177093706,0.0002705479452054795,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
2021-01-29,0.008105666490140493,0.012451098981608129,0.010410170741366204,0.0031672380502029396,0.0061687403297410815,0.004648350496772187,0.01929550720190687,0.02936288791444845,0.024455956303103866,0.015778621600674624,0.02655354235170476,0.021374990043434055,0.014418914418914418,0.02135398933151742,0.0181634341391672,0.00031128777357406254,0.0002939165277061315,0.00030136986301369865,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
2021-01-30,0.00821158219370113,0.012611726680322064,0.010545101744479046,0.003198434277758075,0.006234472808664552,0.0046965888808861225,0.01956232684516901,0.02980265466892752,0.024811427085139587,0.01599797222533646,0.02690987492275702,0.021665487496895893,0.014612054612054613,0.021580978322551358,0.01837485062965346,0.00031128777357406254,0.0002939165277061315,0.00030136986301369865,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
2021-01-31,0.008293268814747897,0.012749670314713803,0.010656623031389178,0.003236198132166923,0.006290092598522873,0.004743163872444406,0.019749100595452505,0.030195907632067455,0.025104040228888503,0.01615395489176265,0.02718050725520178,0.021881017865593388,0.014745254745254746,0.021802292588809443,0.018555627049054755,0.00031926951135801285,0.0002939165277061315,0.0003047945205479452,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
2021-02-01,0.008671934761464682,0.01332780741352007,0.01114107410280637,0.003385611643088886,0.006585046029589728,0.004964395082346249,0.020749674257685518,0.031599778425212166,0.026311340384948846,0.016885123640635435,0.02832618412921792,0.022827477310743253,0.015278055278055279,0.022806718874134605,0.019343076875938354,0.00032725124914196316,0.00032390801012512446,0.00032534246575342465,0.0,3.714655057131395e-05,2.2777694259565492e-05,0.0,9.798253951145906e-06,6.794078281369958e-06
