Age,Total,Men,Women
<18,721010,370133,350876
18-30,526652,261045,265605
31-40,461529,224844,236689
41-50,70867,33288,37579
51-60,321196,146871,174324
61-70,260904,111486,149419
>70,366700,130039,236661
Total,3075650,1444545,1631105
